*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\starb2.csv
*  version    : 1.0
*  date       : 27-May-2015 09:21:45
*  created by : J.G.Wesseling
*  module     : starb2
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 1.7844827453E-03, 1.0000000000E-10
-7.9432823472E+06, 1.9240250625E-03, 1.5606341781E-10
-6.3095734448E+06, 2.0739444365E-03, 2.4350764340E-10
-5.0118723363E+06, 2.2446179243E-03, 3.7979113377E-10
-3.9810717055E+06, 2.4464225827E-03, 5.9198152951E-10
-3.1622776602E+06, 2.6897354685E-03, 9.2196189420E-10
-2.5118864315E+06, 2.9849336386E-03, 1.4343978883E-09
-1.9952623150E+06, 3.3423941499E-03, 2.2288894245E-09
-1.5848931925E+06, 3.7724940593E-03, 3.4584380517E-09
-1.2589254118E+06, 4.2856104236E-03, 5.3574045131E-09
-1.0000000000E+06, 4.8921202997E-03, 8.2836589224E-09
-7.9432823472E+05, 5.6024007444E-03, 1.2781848901E-08
-6.3095734448E+05, 6.4268288146E-03, 1.9677921391E-08
-5.0118723363E+05, 7.3757815672E-03, 3.0219634328E-08
-3.9810717055E+05, 8.4596360590E-03, 4.6284331988E-08
-3.1622776602E+05, 9.6887693470E-03, 7.0684465278E-08
-2.5118864315E+05, 1.1073558488E-02, 1.0761418122E-07
-1.9952623150E+05, 1.2624380539E-02, 1.6329803413E-07
-1.5848931925E+05, 1.4351612556E-02, 2.4692706787E-07
-1.2589254118E+05, 1.6265631597E-02, 3.7200014106E-07
-1.0000000000E+05, 1.8376814718E-02, 5.5823176065E-07
-7.9432823472E+04, 2.0695538977E-02, 8.3424455759E-07
-6.3095734448E+04, 2.3232181430E-02, 1.2413378413E-06
-5.0118723363E+04, 2.5997119134E-02, 1.8387164019E-06
-3.9810717055E+04, 2.9000729145E-02, 2.7106785453E-06
-3.1622776602E+04, 3.2253388522E-02, 3.9764009570E-06
-2.5118864315E+04, 3.5765474320E-02, 5.8031203046E-06
-1.9952623150E+04, 3.9547363597E-02, 8.4236943765E-06
-1.5848931925E+04, 4.3609433409E-02, 1.2159721345E-05
-1.5488166189E+04, 4.4031449836E-02, 1.2610409033E-05
-1.5135612484E+04, 4.4456382216E-02, 1.3077042603E-05
-1.4791083882E+04, 4.4884240926E-02, 1.3560154194E-05
-1.4454397707E+04, 4.5315036344E-02, 1.4060292389E-05
-1.4125375446E+04, 4.5748778845E-02, 1.4578022672E-05
-1.3803842646E+04, 4.6185478808E-02, 1.5113927897E-05
-1.3489628826E+04, 4.6625146609E-02, 1.5668608763E-05
-1.3182567386E+04, 4.7067792626E-02, 1.6242684305E-05
-1.2882495517E+04, 4.7513427234E-02, 1.6836792391E-05
-1.2589254118E+04, 4.7962060813E-02, 1.7451590234E-05
-1.2302687708E+04, 4.8413703737E-02, 1.8087754917E-05
-1.2022644346E+04, 4.8868366386E-02, 1.8745983923E-05
-1.1748975549E+04, 4.9326059134E-02, 1.9426995684E-05
-1.1481536215E+04, 4.9786792361E-02, 2.0131530140E-05
-1.1220184543E+04, 5.0250576442E-02, 2.0860349304E-05
-1.0964781961E+04, 5.0717421755E-02, 2.1614237850E-05
-1.0715193052E+04, 5.1187338677E-02, 2.2394003707E-05
-1.0471285481E+04, 5.1660337584E-02, 2.3200478663E-05
-1.0232929923E+04, 5.2136428855E-02, 2.4034518989E-05
-1.0000000000E+04, 5.2615622866E-02, 2.4897006073E-05
-9.7723722096E+03, 5.3097929993E-02, 2.5788847063E-05
-9.5499258602E+03, 5.3583360615E-02, 2.6710975529E-05
-9.3325430080E+03, 5.4071925108E-02, 2.7664352137E-05
-9.1201083936E+03, 5.4563633850E-02, 2.8649965334E-05
-8.9125093813E+03, 5.5058497216E-02, 2.9668832047E-05
-8.7096358996E+03, 5.5556525585E-02, 3.0721998401E-05
-8.5113803820E+03, 5.6057729333E-02, 3.1810540446E-05
-8.3176377110E+03, 5.6562118838E-02, 3.2935564896E-05
-8.1283051616E+03, 5.7069704476E-02, 3.4098209888E-05
-7.9432823472E+03, 5.7580496625E-02, 3.5299645754E-05
-7.7624711663E+03, 5.8094505661E-02, 3.6541075803E-05
-7.5857757503E+03, 5.8611741962E-02, 3.7823737122E-05
-7.4131024130E+03, 5.9132215905E-02, 3.9148901388E-05
-7.2443596008E+03, 5.9655937867E-02, 4.0517875701E-05
-7.0794578438E+03, 6.0182918224E-02, 4.1932003425E-05
-6.9183097092E+03, 6.0713167355E-02, 4.3392665044E-05
-6.7608297539E+03, 6.1246695635E-02, 4.4901279041E-05
-6.6069344801E+03, 6.1783513443E-02, 4.6459302779E-05
-6.4565422903E+03, 6.2323631154E-02, 4.8068233412E-05
-6.3095734448E+03, 6.2867059147E-02, 4.9729608797E-05
-6.1659500186E+03, 6.3413807798E-02, 5.1445008428E-05
-6.0255958607E+03, 6.3963887484E-02, 5.3216054389E-05
