*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\staro6.csv
*  version    : 1.0
*  date       : 27-May-2015 09:20:25
*  created by : J.G.Wesseling
*  module     : staro6
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 4.2200999211E-02, 1.0000000000E-10
-7.9432823472E+06, 4.5514023852E-02, 1.7421336140E-10
-6.3095734448E+06, 4.8835004189E-02, 3.0330800565E-10
-5.0118723363E+06, 5.2171895917E-02, 5.2738550786E-10
-3.9810717055E+06, 5.5532654732E-02, 9.1524079015E-10
-3.1622776602E+06, 5.8925236329E-02, 1.5842596219E-09
-2.5118864315E+06, 6.2357596406E-02, 2.7335190344E-09
-1.9952623150E+06, 6.5837690656E-02, 4.6983305335E-09
-1.5848931925E+06, 6.9373474776E-02, 8.0391790038E-09
-1.2589254118E+06, 7.2972904461E-02, 1.3685083504E-08
-1.0000000000E+06, 7.6643935408E-02, 2.3161771757E-08
-7.9432823472E+05, 8.0394523312E-02, 3.8949835622E-08
-6.3095734448E+05, 8.4232623868E-02, 6.5038416510E-08
-5.0118723363E+05, 8.8166192772E-02, 1.0776698171E-07
-3.9810717055E+05, 9.2203185720E-02, 1.7708177373E-07
-3.1622776602E+05, 9.6351558408E-02, 2.8837349651E-07
-2.5118864315E+05, 1.0061926653E-01, 4.6510511058E-07
-1.9952623150E+05, 1.0501426578E-01, 7.4247548879E-07
-1.5848931925E+05, 1.0954451186E-01, 1.1723824913E-06
-1.2589254118E+05, 1.1421796047E-01, 1.8299266125E-06
-1.0000000000E+05, 1.1904256729E-01, 2.8216043813E-06
-7.9432823472E+04, 1.2402628802E-01, 4.2951429278E-06
-6.3095734448E+04, 1.2917707837E-01, 6.4505853122E-06
-5.0118723363E+04, 1.3450289402E-01, 9.5517199979E-06
-3.9810717055E+04, 1.4001169066E-01, 1.3936250739E-05
-3.1622776602E+04, 1.4571142401E-01, 2.0022263920E-05
-2.5118864315E+04, 1.5161004975E-01, 2.8307676637E-05
-1.9952623150E+04, 1.5771552357E-01, 3.9358635791E-05
-1.5848931925E+04, 1.6403580118E-01, 5.3782571992E-05
-1.5488166189E+04, 1.6467994945E-01, 5.5434007191E-05
-1.5135612484E+04, 1.6532633326E-01, 5.7121295348E-05
-1.4791083882E+04, 1.6597496058E-01, 5.8831363218E-05
-1.4454397707E+04, 1.6662583936E-01, 6.0548572526E-05
-1.4125375446E+04, 1.6727897756E-01, 6.2255550865E-05
-1.3803842646E+04, 1.6793438313E-01, 6.3933203794E-05
-1.3489628826E+04, 1.6859206404E-01, 6.5560780357E-05
-1.3182567386E+04, 1.6925202822E-01, 6.7116425860E-05
-1.2882495517E+04, 1.6991428365E-01, 6.8590305970E-05
-1.2589254118E+04, 1.7057883827E-01, 6.9988373222E-05
-1.2302687708E+04, 1.7124570005E-01, 7.1318764300E-05
-1.2022644346E+04, 1.7191487693E-01, 7.2590867142E-05
-1.1748975549E+04, 1.7258637687E-01, 7.3815222771E-05
-1.1481536215E+04, 1.7326020784E-01, 7.5003438368E-05
-1.1220184543E+04, 1.7393637778E-01, 7.6168115628E-05
-1.0964781961E+04, 1.7461489464E-01, 7.7322798134E-05
-1.0715193052E+04, 1.7529576339E-01, 7.8481941132E-05
-1.0471285481E+04, 1.7597897065E-01, 7.9660906944E-05
-1.0232929923E+04, 1.7666449614E-01, 8.0875989117E-05
-1.0000000000E+04, 1.7735231956E-01, 8.2144468492E-05
-9.7723722096E+03, 1.7804242061E-01, 8.3484704608E-05
-9.5499258602E+03, 1.7873477902E-01, 8.4916266246E-05
-9.3325430080E+03, 1.7942937447E-01, 8.6460105584E-05
-9.1201083936E+03, 1.8012618669E-01, 8.8138781337E-05
-8.9125093813E+03, 1.8082519536E-01, 8.9976737441E-05
-8.7096358996E+03, 1.8152638021E-01, 9.1998053201E-05
-8.5113803820E+03, 1.8222972094E-01, 9.4211107306E-05
-8.3176377110E+03, 1.8293519725E-01, 9.6617488863E-05
-8.1283051616E+03, 1.8364278884E-01, 9.9218926738E-05
-7.9432823472E+03, 1.8435247544E-01, 1.0201720503E-04
-7.7624711663E+03, 1.8506423673E-01, 1.0501405032E-04
-7.5857757503E+03, 1.8577805244E-01, 1.0821101359E-04
-7.4131024130E+03, 1.8649390226E-01, 1.1160934604E-04
-7.2443596008E+03, 1.8721176590E-01, 1.1520986822E-04
-7.0794578438E+03, 1.8793162306E-01, 1.1901283197E-04
-6.9183097092E+03, 1.8865345346E-01, 1.2301777500E-04
-6.7608297539E+03, 1.8937723680E-01, 1.2722336835E-04
-6.6069344801E+03, 1.9010295278E-01, 1.3162725691E-04
-6.4565422903E+03, 1.9083058112E-01, 1.3622589380E-04
-6.3095734448E+03, 1.9156010151E-01, 1.4101436984E-04
-6.1659500186E+03, 1.9229149367E-01, 1.4598623920E-04
-6.0255958607E+03, 1.9302473730E-01, 1.5113334358E-04
-5.8884365536E+03, 1.9375981211E-01, 1.5644572804E-04
-5.7543993734E+03, 1.9449669780E-01, 1.6191756872E-04
-5.6234132519E+03, 1.9523537408E-01, 1.6755191896E-04
-5.4954087386E+03, 1.9597582065E-01, 1.7335273833E-04
-5.3703179637E+03, 1.9671801723E-01, 1.7932406528E-04
-5.2480746025E+03, 1.9746194351E-01, 1.8547001876E-04
-5.1286138399E+03, 1.9820757921E-01, 1.9179479989E-04
-5.0118723363E+03, 1.9895490403E-01, 1.9830269362E-04
-4.8977881937E+03, 1.9970389768E-01, 2.0499807054E-04
-4.7863009232E+03, 2.0045453986E-01, 2.1188538869E-04
-4.6773514129E+03, 2.0120681027E-01, 2.1896919543E-04
-4.5708818961E+03, 2.0196068864E-01, 2.2625412944E-04
-4.4668359215E+03, 2.0271615466E-01, 2.3374492268E-04
-4.3651583224E+03, 2.0347318803E-01, 2.4144640252E-04
-4.2657951880E+03, 2.0423176847E-01, 2.4936349388E-04
-4.1686938347E+03, 2.0499187568E-01, 2.5750122149E-04
-4.0738027780E+03, 2.0575348937E-01, 2.6586471217E-04
-3.9810717055E+03, 2.0651658923E-01, 2.7445919724E-04
-3.8904514499E+03, 2.0728115499E-01, 2.8329001498E-04
-3.8018939632E+03, 2.0804716635E-01, 2.9236261325E-04
-3.7153522910E+03, 2.0881460300E-01, 3.0168255206E-04
-3.6307805477E+03, 2.0958344467E-01, 3.1125550637E-04
-3.5481338923E+03, 2.1035367105E-01, 3.2108726893E-04
-3.4673685045E+03, 2.1112526185E-01, 3.3118375319E-04
-3.3884415614E+03, 2.1189819677E-01, 3.4155099637E-04
-3.3113112148E+03, 2.1267245553E-01, 3.5219516261E-04
-3.2359365693E+03, 2.1344801783E-01, 3.6312254624E-04
-3.1622776602E+03, 2.1422486338E-01, 3.7433957513E-04
-3.0902954325E+03, 2.1500297187E-01, 3.8585281420E-04
-3.0199517204E+03, 2.1578232303E-01, 3.9766896906E-04
-2.9512092267E+03, 2.1656289655E-01, 4.0979488972E-04
-2.8840315031E+03, 2.1734467214E-01, 4.2223757450E-04
-2.8183829313E+03, 2.1812762950E-01, 4.3500417401E-04
-2.7542287033E+03, 2.1891174835E-01, 4.4810199535E-04
-2.6915348039E+03, 2.1969700839E-01, 4.6153850638E-04
-2.6302679919E+03, 2.2048338932E-01, 4.7532134016E-04
-2.5703957828E+03, 2.2127087086E-01, 4.8945829961E-04
-2.5118864315E+03, 2.2205943270E-01, 5.0395736224E-04
-2.4547089157E+03, 2.2284905456E-01, 5.1882668508E-04
-2.3988329190E+03, 2.2363971614E-01, 5.3407460983E-04
-2.3442288153E+03, 2.2443139715E-01, 5.4970966814E-04
-2.2908676528E+03, 2.2522407729E-01, 5.6574058704E-04
-2.2387211386E+03, 2.2601773626E-01, 5.8217629468E-04
-2.1877616239E+03, 2.2681235379E-01, 5.9902592616E-04
-2.1379620895E+03, 2.2760790956E-01, 6.1629882960E-04
-2.0892961309E+03, 2.2840438330E-01, 6.3400457244E-04
-2.0417379447E+03, 2.2920175469E-01, 6.5215294791E-04
-1.9952623150E+03, 2.3000000346E-01, 6.7075398184E-04
-1.9498445998E+03, 2.3079910931E-01, 6.8981793956E-04
-1.9054607180E+03, 2.3159905194E-01, 7.0935533312E-04
-1.8620871367E+03, 2.3239981105E-01, 7.2937692882E-04
-1.8197008586E+03, 2.3320136637E-01, 7.4989375484E-04
-1.7782794100E+03, 2.3400369758E-01, 7.7091710935E-04
-1.7378008287E+03, 2.3480678441E-01, 7.9245856870E-04
-1.6982436525E+03, 2.3561060654E-01, 8.1452999603E-04
-1.6595869074E+03, 2.3641514370E-01, 8.3714355016E-04
-1.6218100974E+03, 2.3722037559E-01, 8.6031169475E-04
-1.5848931925E+03, 2.3802628190E-01, 8.8404720779E-04
-1.5488166189E+03, 2.3883284236E-01, 9.0836319150E-04
-1.5135612484E+03, 2.3964003666E-01, 9.3327308245E-04
-1.4791083882E+03, 2.4044784452E-01, 9.5879066216E-04
-1.4454397707E+03, 2.4125624563E-01, 9.8493006801E-04
-1.4125375446E+03, 2.4206521971E-01, 1.0117058045E-03
-1.3803842646E+03, 2.4287474646E-01, 1.0391327550E-03
-1.3489628826E+03, 2.4368480558E-01, 1.0672261940E-03
-1.3182567386E+03, 2.4449537679E-01, 1.0960017993E-03
-1.2882495517E+03, 2.4530643978E-01, 1.1254756652E-03
-1.2589254118E+03, 2.4611797428E-01, 1.1556643164E-03
-1.2302687708E+03, 2.4692995997E-01, 1.1865847210E-03
-1.2022644346E+03, 2.4774237657E-01, 1.2182543057E-03
-1.1748975549E+03, 2.4855520379E-01, 1.2506909705E-03
-1.1481536215E+03, 2.4936842132E-01, 1.2839131043E-03
-1.1220184543E+03, 2.5018200889E-01, 1.3179396004E-03
-1.0964781961E+03, 2.5099594618E-01, 1.3527898740E-03
-1.0715193052E+03, 2.5181021292E-01, 1.3884838787E-03
-1.0471285481E+03, 2.5262478880E-01, 1.4250421246E-03
-1.0232929923E+03, 2.5343965353E-01, 1.4624856968E-03
-1.0000000000E+03, 2.5425478682E-01, 1.5008362745E-03
-9.7723722096E+02, 2.5507016838E-01, 1.5401161507E-03
-9.5499258602E+02, 2.5588577791E-01, 1.5803482530E-03
-9.3325430080E+02, 2.5670159511E-01, 1.6215561649E-03
-9.1201083936E+02, 2.5751759969E-01, 1.6637641477E-03
-8.9125093813E+02, 2.5833377137E-01, 1.7069971633E-03
-8.7096358996E+02, 2.5915008984E-01, 1.7512808983E-03
-8.5113803820E+02, 2.5996653481E-01, 1.7966417886E-03
-8.3176377110E+02, 2.6078308599E-01, 1.8431070445E-03
-8.1283051616E+02, 2.6159972308E-01, 1.8907046773E-03
-7.9432823472E+02, 2.6241642580E-01, 1.9394635273E-03
-7.7624711663E+02, 2.6323317384E-01, 1.9894132914E-03
-7.5857757503E+02, 2.6404994691E-01, 2.0405845532E-03
-7.4131024130E+02, 2.6486672473E-01, 2.0930088134E-03
-7.2443596008E+02, 2.6568348699E-01, 2.1467185218E-03
-7.0794578438E+02, 2.6650021340E-01, 2.2017471100E-03
-6.9183097092E+02, 2.6731688367E-01, 2.2581290256E-03
-6.7608297539E+02, 2.6813347750E-01, 2.3158997682E-03
-6.6069344801E+02, 2.6894997460E-01, 2.3750959255E-03
-6.4565422903E+02, 2.6976635468E-01, 2.4357552123E-03
-6.3095734448E+02, 2.7058259745E-01, 2.4979165094E-03
-6.1659500186E+02, 2.7139868260E-01, 2.5616199058E-03
-6.0255958607E+02, 2.7221458985E-01, 2.6269067408E-03
-5.8884365536E+02, 2.7303029890E-01, 2.6938196486E-03
-5.7543993734E+02, 2.7384578945E-01, 2.7624026047E-03
-5.6234132519E+02, 2.7466104123E-01, 2.8327009738E-03
-5.4954087386E+02, 2.7547603392E-01, 2.9047615594E-03
-5.3703179637E+02, 2.7629074724E-01, 2.9786326559E-03
-5.2480746025E+02, 2.7710516089E-01, 3.0543641024E-03
-5.1286138399E+02, 2.7791925458E-01, 3.1320073382E-03
-5.0118723363E+02, 2.7873300802E-01, 3.2116154616E-03
-4.8977881937E+02, 2.7954640091E-01, 3.2932432896E-03
-4.7863009232E+02, 2.8035941295E-01, 3.3769474212E-03
-4.6773514129E+02, 2.8117202386E-01, 3.4627863028E-03
-4.5708818961E+02, 2.8198421334E-01, 3.5508202955E-03
-4.4668359215E+02, 2.8279596110E-01, 3.6411117463E-03
-4.3651583224E+02, 2.8360724684E-01, 3.7337250616E-03
-4.2657951880E+02, 2.8441805027E-01, 3.8287267830E-03
-4.1686938347E+02, 2.8522835110E-01, 3.9261856677E-03
-4.0738027780E+02, 2.8603812902E-01, 4.0261727704E-03
-3.9810717055E+02, 2.8684736376E-01, 4.1287615300E-03
-3.8904514499E+02, 2.8765603501E-01, 4.2340278591E-03
-3.8018939632E+02, 2.8846412248E-01, 4.3420502371E-03
-3.7153522910E+02, 2.8927160587E-01, 4.4529098076E-03
-3.6307805477E+02, 2.9007846490E-01, 4.5666904792E-03
-3.5481338923E+02, 2.9088467927E-01, 4.6834790314E-03
-3.4673685045E+02, 2.9169022868E-01, 4.8033652237E-03
-3.3884415614E+02, 2.9249509285E-01, 4.9264419103E-03
-3.3113112148E+02, 2.9329925147E-01, 5.0528051589E-03
-3.2359365693E+02, 2.9410268426E-01, 5.1825543748E-03
-3.1622776602E+02, 2.9490537092E-01, 5.3157924305E-03
-3.0902954325E+02, 2.9570728809E-01, 5.4526257999E-03
-3.0199517204E+02, 2.9650840137E-01, 5.5931646992E-03
-2.9512092267E+02, 2.9730867387E-01, 5.7375232332E-03
-2.8840315031E+02, 2.9810806868E-01, 5.8858195478E-03
-2.8183829313E+02, 2.9890654891E-01, 6.0381759896E-03
-2.7542287033E+02, 2.9970407767E-01, 6.1947192715E-03
-2.6915348039E+02, 3.0050061805E-01, 6.3555806464E-03
-2.6302679919E+02, 3.0129613317E-01, 6.5208960877E-03
-2.5703957828E+02, 3.0209058612E-01, 6.6908064764E-03
-2.5118864315E+02, 3.0288394000E-01, 6.8654547491E-03
-2.4547089157E+02, 3.0367615793E-01, 7.0449791331E-03
-2.3988329190E+02, 3.0446720300E-01, 7.2295200998E-03
-2.3442288153E+02, 3.0525703832E-01, 7.4192222152E-03
-2.2908676528E+02, 3.0604562700E-01, 7.6142342580E-03
-2.2387211386E+02, 3.0683293212E-01, 7.8147093422E-03
-2.1877616239E+02, 3.0761891681E-01, 8.0208050416E-03
-2.1379620895E+02, 3.0840354416E-01, 8.2326835197E-03
-2.0892961309E+02, 3.0918677728E-01, 8.4505116614E-03
-2.0417379447E+02, 3.0996857926E-01, 8.6744612098E-03
-1.9952623150E+02, 3.1074891322E-01, 8.9047089059E-03
-1.9498445998E+02, 3.1152774225E-01, 9.1414366330E-03
-1.9054607180E+02, 3.1230502946E-01, 9.3848315642E-03
-1.8620871367E+02, 3.1308073796E-01, 9.6350863151E-03
-1.8197008586E+02, 3.1385483084E-01, 9.8923990998E-03
-1.7782794100E+02, 3.1462727122E-01, 1.0156973892E-02
-1.7378008287E+02, 3.1539802218E-01, 1.0429020589E-02
-1.6982436525E+02, 3.1616704685E-01, 1.0708755183E-02
-1.6595869074E+02, 3.1693430831E-01, 1.0996399936E-02
-1.6218100974E+02, 3.1769976968E-01, 1.1292183556E-02
-1.5848931925E+02, 3.1846339406E-01, 1.1596341385E-02
-1.5488166189E+02, 3.1922514455E-01, 1.1909115585E-02
-1.5135612484E+02, 3.1998498425E-01, 1.2230755336E-02
-1.4791083882E+02, 3.2074287627E-01, 1.2561517031E-02
-1.4454397707E+02, 3.2149878372E-01, 1.2901664488E-02
-1.4125375446E+02, 3.2225266969E-01, 1.3251469153E-02
-1.3803842646E+02, 3.2300449728E-01, 1.3611210323E-02
-1.3489628826E+02, 3.2375422961E-01, 1.3981175365E-02
-1.3182567386E+02, 3.2450182978E-01, 1.4361659947E-02
-1.2882495517E+02, 3.2524726088E-01, 1.4752968270E-02
-1.2589254118E+02, 3.2599048603E-01, 1.5155413313E-02
-1.2302687708E+02, 3.2673146832E-01, 1.5569317074E-02
-1.2022644346E+02, 3.2747017087E-01, 1.5995010832E-02
-1.1748975549E+02, 3.2820655676E-01, 1.6432835402E-02
-1.1481536215E+02, 3.2894058912E-01, 1.6883141409E-02
-1.1220184543E+02, 3.2967223103E-01, 1.7346289556E-02
-1.0964781961E+02, 3.3040144561E-01, 1.7822650912E-02
-1.0715193052E+02, 3.3112819595E-01, 1.8312607200E-02
-1.0471285481E+02, 3.3185244517E-01, 1.8816551096E-02
-1.0232929923E+02, 3.3257415636E-01, 1.9334886534E-02
-1.0000000000E+02, 3.3329329263E-01, 1.9868029018E-02
-9.7723722096E+01, 3.3400981708E-01, 2.0416405946E-02
-9.5499258602E+01, 3.3472369281E-01, 2.0980456943E-02
-9.3325430080E+01, 3.3543488293E-01, 2.1560634192E-02
-9.1201083936E+01, 3.3614335055E-01, 2.2157402793E-02
-8.9125093813E+01, 3.3684905875E-01, 2.2771241109E-02
-8.7096358996E+01, 3.3755197066E-01, 2.3402641140E-02
-8.5113803820E+01, 3.3825204937E-01, 2.4052108897E-02
-8.3176377110E+01, 3.3894925799E-01, 2.4720164786E-02
-8.1283051616E+01, 3.3964355961E-01, 2.5407344005E-02
-7.9432823472E+01, 3.4033491735E-01, 2.6114196946E-02
-7.7624711663E+01, 3.4102329430E-01, 2.6841289619E-02
-7.5857757503E+01, 3.4170865358E-01, 2.7589204069E-02
-7.4131024130E+01, 3.4239095827E-01, 2.8358538822E-02
-7.2443596008E+01, 3.4307017150E-01, 2.9149909326E-02
-7.0794578438E+01, 3.4374625635E-01, 2.9963948418E-02
-6.9183097092E+01, 3.4441917594E-01, 3.0801306790E-02
-6.7608297539E+01, 3.4508889336E-01, 3.1662653477E-02
-6.6069344801E+01, 3.4575537173E-01, 3.2548676346E-02
-6.4565422903E+01, 3.4641857414E-01, 3.3460082614E-02
-6.3095734448E+01, 3.4707846370E-01, 3.4397599357E-02
-6.1659500186E+01, 3.4773500351E-01, 3.5361974054E-02
-6.0255958607E+01, 3.4838815667E-01, 3.6353975124E-02
-5.8884365536E+01, 3.4903788629E-01, 3.7374392494E-02
-5.7543993734E+01, 3.4968415547E-01, 3.8424038170E-02
-5.6234132519E+01, 3.5032692732E-01, 3.9503746822E-02
-5.4954087386E+01, 3.5096616494E-01, 4.0614376390E-02
-5.3703179637E+01, 3.5160183143E-01, 4.1756808699E-02
-5.2480746025E+01, 3.5223388990E-01, 4.2931950092E-02
-5.1286138399E+01, 3.5286230344E-01, 4.4140732075E-02
-5.0118723363E+01, 3.5348703517E-01, 4.5384111980E-02
-4.8977881937E+01, 3.5410804818E-01, 4.6663073645E-02
-4.7863009232E+01, 3.5472530558E-01, 4.7978628105E-02
-4.6773514129E+01, 3.5533877048E-01, 4.9331814305E-02
-4.5708818961E+01, 3.5594840597E-01, 5.0723699827E-02
-4.4668359215E+01, 3.5655417517E-01, 5.2155381634E-02
-4.3651583224E+01, 3.5715604117E-01, 5.3627986833E-02
-4.2657951880E+01, 3.5775396707E-01, 5.5142673452E-02
-4.1686938347E+01, 3.5834791598E-01, 5.6700631243E-02
-4.0738027780E+01, 3.5893785101E-01, 5.8303082490E-02
-3.9810717055E+01, 3.5952373526E-01, 5.9951282851E-02
-3.8904514499E+01, 3.6010553183E-01, 6.1646522208E-02
-3.8018939632E+01, 3.6068320382E-01, 6.3390125542E-02
-3.7153522910E+01, 3.6125671434E-01, 6.5183453823E-02
-3.6307805477E+01, 3.6182602650E-01, 6.7027910137E-02
-3.5481338923E+01, 3.6239110338E-01, 6.8924956006E-02
-3.4673685045E+01, 3.6295190811E-01, 7.0876099434E-02
-3.3884415614E+01, 3.6350840378E-01, 7.2882891843E-02
-3.3113112148E+01, 3.6406055349E-01, 7.4946929316E-02
-3.2359365693E+01, 3.6460832036E-01, 7.7069853891E-02
-3.1622776602E+01, 3.6515166748E-01, 7.9253354885E-02
-3.0902954325E+01, 3.6569055795E-01, 8.1499170261E-02
-3.0199517204E+01, 3.6622496380E-01, 8.3809088027E-02
-2.9512092267E+01, 3.6675490143E-01, 8.6184947683E-02
-2.8840315031E+01, 3.6728040102E-01, 8.8628641706E-02
-2.8183829313E+01, 3.6780149277E-01, 9.1142117080E-02
-2.7542287033E+01, 3.6831820687E-01, 9.3727376867E-02
-2.6915348039E+01, 3.6883057351E-01, 9.6386481826E-02
-2.6302679919E+01, 3.6933862288E-01, 9.9121552079E-02
-2.5703957828E+01, 3.6984238516E-01, 1.0193476882E-01
-2.5118864315E+01, 3.7034189056E-01, 1.0482837609E-01
-2.4547089157E+01, 3.7083716926E-01, 1.0780468256E-01
-2.3988329190E+01, 3.7132825145E-01, 1.1086606343E-01
-2.3442288153E+01, 3.7181516732E-01, 1.1401496235E-01
-2.2908676528E+01, 3.7229794706E-01, 1.1725389335E-01
-2.2387211386E+01, 3.7277662087E-01, 1.2058544293E-01
-2.1877616239E+01, 3.7325121894E-01, 1.2401227210E-01
-2.1379620895E+01, 3.7372177145E-01, 1.2753711856E-01
-2.0892961309E+01, 3.7418830859E-01, 1.3116279892E-01
-2.0417379447E+01, 3.7465086056E-01, 1.3489221095E-01
-1.9952623150E+01, 3.7510945755E-01, 1.3872833592E-01
-1.9498445998E+01, 3.7556412975E-01, 1.4267424106E-01
-1.9054607180E+01, 3.7601490735E-01, 1.4673308196E-01
-1.8620871367E+01, 3.7646182053E-01, 1.5090810521E-01
-1.8197008586E+01, 3.7690489950E-01, 1.5520265095E-01
-1.7782794100E+01, 3.7734417444E-01, 1.5962015560E-01
-1.7378008287E+01, 3.7777967554E-01, 1.6416415464E-01
-1.6982436525E+01, 3.7821143299E-01, 1.6883828548E-01
-1.6595869074E+01, 3.7863947698E-01, 1.7364629036E-01
-1.6218100974E+01, 3.7906383771E-01, 1.7859201941E-01
-1.5848931925E+01, 3.7948454536E-01, 1.8367943377E-01
-1.5488166189E+01, 3.7990163013E-01, 1.8891260874E-01
-1.5135612484E+01, 3.8031512220E-01, 1.9429573715E-01
-1.4791083882E+01, 3.8072505177E-01, 1.9983313266E-01
-1.4454397707E+01, 3.8113144903E-01, 2.0552923335E-01
-1.4125375446E+01, 3.8153434417E-01, 2.1138860520E-01
-1.3803842646E+01, 3.8193376737E-01, 2.1741594587E-01
-1.3489628826E+01, 3.8232974884E-01, 2.2361608844E-01
-1.3182567386E+01, 3.8272231875E-01, 2.2999400536E-01
-1.2882495517E+01, 3.8311150731E-01, 2.3655481242E-01
-1.2589254118E+01, 3.8349734469E-01, 2.4330377292E-01
-1.2302687708E+01, 3.8387986110E-01, 2.5024630194E-01
-1.2022644346E+01, 3.8425908672E-01, 2.5738797064E-01
-1.1748975549E+01, 3.8463505175E-01, 2.6473451087E-01
-1.1481536215E+01, 3.8500778637E-01, 2.7229181970E-01
-1.1220184543E+01, 3.8537732078E-01, 2.8006596427E-01
-1.0964781961E+01, 3.8574368516E-01, 2.8806318662E-01
-1.0715193052E+01, 3.8610690970E-01, 2.9628990880E-01
-1.0471285481E+01, 3.8646702461E-01, 3.0475273801E-01
-1.0232929923E+01, 3.8682406006E-01, 3.1345847195E-01
-1.0000000000E+01, 3.8717804625E-01, 3.2241410434E-01
-9.7723722096E+00, 3.8752901337E-01, 3.3162683053E-01
-9.5499258602E+00, 3.8787699162E-01, 3.4110405333E-01
-9.3325430080E+00, 3.8822201117E-01, 3.5085338901E-01
-9.1201083936E+00, 3.8856410222E-01, 3.6088267340E-01
-8.9125093813E+00, 3.8890329497E-01, 3.7119996829E-01
-8.7096358996E+00, 3.8923961959E-01, 3.8181356787E-01
-8.5113803820E+00, 3.8957310630E-01, 3.9273200549E-01
-8.3176377110E+00, 3.8990378526E-01, 4.0396406048E-01
-8.1283051616E+00, 3.9023168668E-01, 4.1551876533E-01
-7.9432823472E+00, 3.9055684075E-01, 4.2740541290E-01
-7.7624711663E+00, 3.9087927765E-01, 4.3963356396E-01
-7.5857757503E+00, 3.9119902758E-01, 4.5221305492E-01
-7.4131024130E+00, 3.9151612073E-01, 4.6515400572E-01
-7.2443596008E+00, 3.9183058729E-01, 4.7846682807E-01
-7.0794578438E+00, 3.9214245744E-01, 4.9216223380E-01
-6.9183097092E+00, 3.9245176139E-01, 5.0625124350E-01
-6.7608297539E+00, 3.9275852932E-01, 5.2074519544E-01
-6.6069344801E+00, 3.9306279141E-01, 5.3565575474E-01
-6.4565422903E+00, 3.9336457787E-01, 5.5099492269E-01
-6.3095734448E+00, 3.9366391889E-01, 5.6677504654E-01
-6.1659500186E+00, 3.9396084464E-01, 5.8300882939E-01
-6.0255958607E+00, 3.9425538533E-01, 5.9970934045E-01
-5.8884365536E+00, 3.9454757115E-01, 6.1689002557E-01
-5.7543993734E+00, 3.9483743228E-01, 6.3456471813E-01
-5.6234132519E+00, 3.9512499892E-01, 6.5274765012E-01
-5.4954087386E+00, 3.9541030125E-01, 6.7145346366E-01
-5.3703179637E+00, 3.9569336947E-01, 6.9069722279E-01
-5.2480746025E+00, 3.9597423377E-01, 7.1049442561E-01
-5.1286138399E+00, 3.9625292434E-01, 7.3086101676E-01
-5.0118723363E+00, 3.9652947137E-01, 7.5181340028E-01
-4.8977881937E+00, 3.9680390505E-01, 7.7336845282E-01
-4.7863009232E+00, 3.9707625557E-01, 7.9554353723E-01
-4.6773514129E+00, 3.9734655313E-01, 8.1835651655E-01
-4.5708818961E+00, 3.9761482790E-01, 8.4182576836E-01
-4.4668359215E+00, 3.9788111009E-01, 8.6597019965E-01
-4.3651583224E+00, 3.9814542988E-01, 8.9080926197E-01
-4.2657951880E+00, 3.9840781747E-01, 9.1636296711E-01
-4.1686938347E+00, 3.9866830305E-01, 9.4265190323E-01
-4.0738027780E+00, 3.9892691679E-01, 9.6969725137E-01
-3.9810717055E+00, 3.9918368891E-01, 9.9752080254E-01
-3.8904514499E+00, 3.9943864959E-01, 1.0261449752E+00
-3.8018939632E+00, 3.9969182901E-01, 1.0555928335E+00
-3.7153522910E+00, 3.9994325737E-01, 1.0858881053E+00
-3.6307805477E+00, 4.0019296486E-01, 1.1170552020E+00
-3.5481338923E+00, 4.0044098167E-01, 1.1491192373E+00
-3.4673685045E+00, 4.0068733800E-01, 1.1821060484E+00
