*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\staro1.csv
*  version    : 1.0
*  date       : 27-May-2015 09:18:24
*  created by : J.G.Wesseling
*  module     : staro1
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 5.6154572342E-04, 1.0000000000E-10
-7.9432823472E+06, 6.4142437760E-04, 1.1040077009E-10
-6.3095734448E+06, 7.2352098626E-04, 1.2202078701E-10
-5.0118723363E+06, 8.1005350391E-04, 1.3516827552E-10
-3.9810717055E+06, 9.0323988502E-04, 1.5023965337E-10
-3.1622776602E+06, 1.0052980841E-03, 1.6774625666E-10
-2.5118864315E+06, 1.1184460556E-03, 1.8835154322E-10
-1.9952623150E+06, 1.2449017540E-03, 2.1292331806E-10
-1.5848931925E+06, 1.3868831339E-03, 2.4260770022E-10
-1.2589254118E+06, 1.5466081497E-03, 2.7893490642E-10
-1.0000000000E+06, 1.7262947559E-03, 3.2397216392E-10
-7.9432823472E+05, 1.9281609070E-03, 3.8054733867E-10
-6.3095734448E+05, 2.1544245574E-03, 4.5258010555E-10
-5.0118723363E+05, 2.4073036617E-03, 5.4557897278E-10
-3.9810717055E+05, 2.6890161744E-03, 6.6739784259E-10
-3.1622776602E+05, 3.0017800500E-03, 8.2940490525E-10
-2.5118864315E+05, 3.3478132428E-03, 1.0483170354E-09
-1.9952623150E+05, 3.7293337075E-03, 1.3491261049E-09
-1.5848931925E+05, 4.1485593985E-03, 1.7698478117E-09
-1.2589254118E+05, 4.6077082704E-03, 2.3693673077E-09
-1.0000000000E+05, 5.1089982775E-03, 3.2406458159E-09
-7.9432823472E+04, 5.6546473744E-03, 4.5333898416E-09
-6.3095734448E+04, 6.2468735155E-03, 6.4937640744E-09
-5.0118723363E+04, 6.8878946554E-03, 9.5354333161E-09
-3.9810717055E+04, 7.5799287486E-03, 1.4353958679E-08
-3.1622776602E+04, 8.3251937495E-03, 2.2090046818E-08
-2.5118864315E+04, 9.1259076127E-03, 3.4644169744E-08
-1.9952623150E+04, 9.9842882925E-03, 5.5193399835E-08
-1.5848931925E+04, 1.0902553744E-02, 8.9039455165E-08
-1.5488166189E+04, 1.0997759342E-02, 9.3453982110E-08
-1.5135612484E+04, 1.1093588186E-02, 9.8096220871E-08
-1.4791083882E+04, 1.1190042493E-02, 1.0297801212E-07
-1.4454397707E+04, 1.1287124482E-02, 1.0811180256E-07
-1.4125375446E+04, 1.1384836369E-02, 1.1351067467E-07
-1.3803842646E+04, 1.1483180373E-02, 1.1918837768E-07
-1.3489628826E+04, 1.1582158713E-02, 1.2515936002E-07
-1.3182567386E+04, 1.1681773605E-02, 1.3143880314E-07
-1.2882495517E+04, 1.1782027268E-02, 1.3804265688E-07
-1.2589254118E+04, 1.1882921920E-02, 1.4498767633E-07
-1.2302687708E+04, 1.1984459779E-02, 1.5229146033E-07
-1.2022644346E+04, 1.2086643063E-02, 1.5997249156E-07
-1.1748975549E+04, 1.2189473989E-02, 1.6805017845E-07
-1.1481536215E+04, 1.2292954776E-02, 1.7654489869E-07
-1.1220184543E+04, 1.2397087642E-02, 1.8547804475E-07
-1.0964781961E+04, 1.2501874804E-02, 1.9487207112E-07
-1.0715193052E+04, 1.2607318480E-02, 2.0475054362E-07
-1.0471285481E+04, 1.2713420890E-02, 2.1513819061E-07
-1.0232929923E+04, 1.2820184249E-02, 2.2606095631E-07
-1.0000000000E+04, 1.2927610777E-02, 2.3754605624E-07
-9.7723722096E+03, 1.3035702692E-02, 2.4962203482E-07
-9.5499258602E+03, 1.3144462210E-02, 2.6231882522E-07
-9.3325430080E+03, 1.3253891551E-02, 2.7566781149E-07
-9.1201083936E+03, 1.3363992932E-02, 2.8970189306E-07
-8.9125093813E+03, 1.3474768572E-02, 3.0445555163E-07
-8.7096358996E+03, 1.3586220687E-02, 3.1996492058E-07
-8.5113803820E+03, 1.3698351496E-02, 3.3626785678E-07
-8.3176377110E+03, 1.3811163218E-02, 3.5340401515E-07
-8.1283051616E+03, 1.3924658069E-02, 3.7141492565E-07
-7.9432823472E+03, 1.4038838269E-02, 3.9034407307E-07
-7.7624711663E+03, 1.4153706034E-02, 4.1023697952E-07
-7.5857757503E+03, 1.4269263583E-02, 4.3114128960E-07
-7.4131024130E+03, 1.4385513134E-02, 4.5310685844E-07
-7.2443596008E+03, 1.4502456905E-02, 4.7618584256E-07
-7.0794578438E+03, 1.4620097113E-02, 5.0043279355E-07
-6.9183097092E+03, 1.4738435978E-02, 5.2590475464E-07
-6.7608297539E+03, 1.4857475715E-02, 5.5266136022E-07
-6.6069344801E+03, 1.4977218545E-02, 5.8076493821E-07
-6.4565422903E+03, 1.5097666683E-02, 6.1028061538E-07
-6.3095734448E+03, 1.5218822350E-02, 6.4127642561E-07
-6.1659500186E+03, 1.5340687761E-02, 6.7382342099E-07
-6.0255958607E+03, 1.5463265137E-02, 7.0799578590E-07
-5.8884365536E+03, 1.5586556693E-02, 7.4387095391E-07
-5.7543993734E+03, 1.5710564649E-02, 7.8152972749E-07
-5.6234132519E+03, 1.5835291222E-02, 8.2105640051E-07
-5.4954087386E+03, 1.5960738630E-02, 8.6253888354E-07
-5.3703179637E+03, 1.6086909091E-02, 9.0606883166E-07
-5.2480746025E+03, 1.6213804824E-02, 9.5174177497E-07
-5.1286138399E+03, 1.6341428045E-02, 9.9965725146E-07
-5.0118723363E+03, 1.6469780974E-02, 1.0499189423E-06
-4.8977881937E+03, 1.6598865828E-02, 1.1026348094E-06
-4.7863009232E+03, 1.6728684824E-02, 1.1579172349E-06
-4.6773514129E+03, 1.6859240182E-02, 1.2158831625E-06
-4.5708818961E+03, 1.6990534118E-02, 1.2766542412E-06
-4.4668359215E+03, 1.7122568851E-02, 1.3403569694E-06
-4.3651583224E+03, 1.7255346599E-02, 1.4071228413E-06
-4.2657951880E+03, 1.7388869579E-02, 1.4770884940E-06
-4.1686938347E+03, 1.7523140010E-02, 1.5503958555E-06
-4.0738027780E+03, 1.7658160110E-02, 1.6271922926E-06
-3.9810717055E+03, 1.7793932097E-02, 1.7076307599E-06
-3.8904514499E+03, 1.7930458188E-02, 1.7918699483E-06
-3.8018939632E+03, 1.8067740601E-02, 1.8800744326E-06
-3.7153522910E+03, 1.8205781555E-02, 1.9724148183E-06
-3.6307805477E+03, 1.8344583267E-02, 2.0690678876E-06
-3.5481338923E+03, 1.8484147956E-02, 2.1702167430E-06
-3.4673685045E+03, 1.8624477838E-02, 2.2760509485E-06
-3.3884415614E+03, 1.8765575133E-02, 2.3867666687E-06
-3.3113112148E+03, 1.8907442059E-02, 2.5025668034E-06
-3.2359365693E+03, 1.9050080832E-02, 2.6236611196E-06
-3.1622776602E+03, 1.9193493672E-02, 2.7502663775E-06
-3.0902954325E+03, 1.9337682796E-02, 2.8826064524E-06
-3.0199517204E+03, 1.9482650421E-02, 3.0209124500E-06
-2.9512092267E+03, 1.9628398767E-02, 3.1654228150E-06
-2.8840315031E+03, 1.9774930050E-02, 3.3163834330E-06
-2.8183829313E+03, 1.9922246490E-02, 3.4740477231E-06
-2.7542287033E+03, 2.0070350303E-02, 3.6386767223E-06
-2.6915348039E+03, 2.0219243708E-02, 3.8105391591E-06
-2.6302679919E+03, 2.0368928923E-02, 3.9899115177E-06
-2.5703957828E+03, 2.0519408166E-02, 4.1770780881E-06
-2.5118864315E+03, 2.0670683654E-02, 4.3723310060E-06
-2.4547089157E+03, 2.0822757606E-02, 4.5759702766E-06
-2.3988329190E+03, 2.0975632240E-02, 4.7883037848E-06
-2.3442288153E+03, 2.1129309772E-02, 5.0096472895E-06
-2.2908676528E+03, 2.1283792423E-02, 5.2403243996E-06
-2.2387211386E+03, 2.1439082409E-02, 5.4806665335E-06
-2.1877616239E+03, 2.1595181948E-02, 5.7310128574E-06
-2.1379620895E+03, 2.1752093259E-02, 5.9917102041E-06
-2.0892961309E+03, 2.1909818559E-02, 6.2631129699E-06
-2.0417379447E+03, 2.2068360066E-02, 6.5455829874E-06
-1.9952623150E+03, 2.2227719998E-02, 6.8394893751E-06
-1.9498445998E+03, 2.2387900574E-02, 7.1452083604E-06
-1.9054607180E+03, 2.2548904010E-02, 7.4631230760E-06
-1.8620871367E+03, 2.2710732526E-02, 7.7936233279E-06
-1.8197008586E+03, 2.2873388339E-02, 8.1371053336E-06
-1.7782794100E+03, 2.3036873666E-02, 8.4939971954E-06
-1.7378008287E+03, 2.3201190727E-02, 8.8648914333E-06
-1.6982436525E+03, 2.3366341739E-02, 9.2504749253E-06
-1.6595869074E+03, 2.3532328919E-02, 9.6514843761E-06
-1.6218100974E+03, 2.3699154486E-02, 1.0068710129E-05
-1.5848931925E+03, 2.3866820658E-02, 1.0503000350E-05
-1.5488166189E+03, 2.4035329653E-02, 1.0955265560E-05
-1.5135612484E+03, 2.4204683688E-02, 1.1426483538E-05
-1.4791083882E+03, 2.4374884982E-02, 1.1917704639E-05
-1.4454397707E+03, 2.4545935752E-02, 1.2430057571E-05
-1.4125375446E+03, 2.4717838217E-02, 1.2964755664E-05
-1.3803842646E+03, 2.4890594595E-02, 1.3523103703E-05
-1.3489628826E+03, 2.5064207103E-02, 1.4106505352E-05
-1.3182567386E+03, 2.5238677959E-02, 1.4716471256E-05
-1.2882495517E+03, 2.5414009382E-02, 1.5354627879E-05
-1.2589254118E+03, 2.5590203589E-02, 1.6022727155E-05
-1.2302687708E+03, 2.5767262798E-02, 1.6722657032E-05
-1.2022644346E+03, 2.5945189227E-02, 1.7456453021E-05
-1.1748975549E+03, 2.6123985095E-02, 1.8226310827E-05
-1.1481536215E+03, 2.6303652619E-02, 1.9034600210E-05
-1.1220184543E+03, 2.6484194016E-02, 1.9883880179E-05
-1.0964781961E+03, 2.6665611506E-02, 2.0776915683E-05
-1.0715193052E+03, 2.6847907306E-02, 2.1716695956E-05
-1.0471285481E+03, 2.7031083633E-02, 2.2706454690E-05
-1.0232929923E+03, 2.7215142707E-02, 2.3749692254E-05
-1.0000000000E+03, 2.7400086744E-02, 2.4850200173E-05
-9.7723722096E+02, 2.7585980920E-02, 2.6012088126E-05
-9.5499258602E+02, 2.7773306801E-02, 2.7239813760E-05
-9.3325430080E+02, 2.7962715031E-02, 2.8538215614E-05
-9.1201083936E+02, 2.8154856742E-02, 2.9912549547E-05
-8.9125093813E+02, 2.8350383064E-02, 3.1368529052E-05
-8.7096358996E+02, 2.8549945127E-02, 3.2912369917E-05
-8.5113803820E+02, 2.8754194062E-02, 3.4550839757E-05
-8.3176377110E+02, 2.8963781001E-02, 3.6291312991E-05
-8.1283051616E+02, 2.9179357072E-02, 3.8141831912E-05
-7.9432823472E+02, 2.9401573408E-02, 4.0111174612E-05
-7.7624711663E+02, 2.9631081139E-02, 4.2208930576E-05
-7.5857757503E+02, 2.9868531395E-02, 4.4445584915E-05
-7.4131024130E+02, 3.0114575307E-02, 4.6832612298E-05
-7.2443596008E+02, 3.0369864006E-02, 4.9382581820E-05
-7.0794578438E+02, 3.0635048623E-02, 5.2109274186E-05
-6.9183097092E+02, 3.0910780287E-02, 5.5027812784E-05
-6.7608297539E+02, 3.1197710129E-02, 5.8154810460E-05
-6.6069344801E+02, 3.1496489281E-02, 6.1508534027E-05
-6.4565422903E+02, 3.1807768873E-02, 6.5109088865E-05
-6.3095734448E+02, 3.2132200035E-02, 6.8978626252E-05
-6.1659500186E+02, 3.2470433899E-02, 7.3141576516E-05
-6.0255958607E+02, 3.2823121594E-02, 7.7624911470E-05
-5.8884365536E+02, 3.3190914252E-02, 8.2458440156E-05
-5.7543993734E+02, 3.3574463002E-02, 8.7675142488E-05
-5.6234132519E+02, 3.3974418977E-02, 9.3311546068E-05
-5.4954087386E+02, 3.4391433305E-02, 9.9408152257E-05
-5.3703179637E+02, 3.4826157119E-02, 1.0600991849E-04
-5.2480746025E+02, 3.5279241548E-02, 1.1316680486E-04
-5.1286138399E+02, 3.5751337723E-02, 1.2093439440E-04
-5.0118723363E+02, 3.6243096776E-02, 1.2937459756E-04
-4.8977881937E+02, 3.6755169836E-02, 1.3855645365E-04
-4.7863009232E+02, 3.7288208033E-02, 1.4855704338E-04
-4.6773514129E+02, 3.7842862500E-02, 1.5946252934E-04
-4.5708818961E+02, 3.8419784366E-02, 1.7136934386E-04
-4.4668359215E+02, 3.9019624762E-02, 1.8438554674E-04
-4.3651583224E+02, 3.9643034819E-02, 1.9863237920E-04
-4.2657951880E+02, 4.0290665667E-02, 2.1424604474E-04
-4.1686938347E+02, 4.0963168438E-02, 2.3137975264E-04
-4.0738027780E+02, 4.1661194260E-02, 2.5020606584E-04
-3.9810717055E+02, 4.2385394266E-02, 2.7091673798E-04
-3.8904514499E+02, 4.3136419586E-02, 2.9371655454E-04
-3.8018939632E+02, 4.3914921350E-02, 3.1883129704E-04
-3.7153522910E+02, 4.4721550690E-02, 3.4651237577E-04
-3.6307805477E+02, 4.5556958735E-02, 3.7703979233E-04
-3.5481338923E+02, 4.6421796617E-02, 4.1072544414E-04
-3.4673685045E+02, 4.7316715465E-02, 4.4791680949E-04
-3.3884415614E+02, 4.8242366412E-02, 4.8900105565E-04
-3.3113112148E+02, 4.9199400586E-02, 5.3440961670E-04
-3.2359365693E+02, 5.0188469120E-02, 5.8462329292E-04
-3.1622776602E+02, 5.1210223143E-02, 6.4017792853E-04
-3.0902954325E+02, 5.2265313787E-02, 7.0167073034E-04
-3.0199517204E+02, 5.3354392181E-02, 7.6976729608E-04
-2.9512092267E+02, 5.4478109457E-02, 8.4520942753E-04
-2.8840315031E+02, 5.5637116745E-02, 9.2882381098E-04
-2.8183829313E+02, 5.6832065176E-02, 1.0215316548E-03
-2.7542287033E+02, 5.8063605880E-02, 1.1243593823E-03
-2.6915348039E+02, 5.9332389988E-02, 1.2384504864E-03
-2.6302679919E+02, 6.0639068631E-02, 1.3650786621E-03
-2.5703957828E+02, 6.1984292939E-02, 1.5056623416E-03
-2.5118864315E+02, 6.3368714043E-02, 1.6617807674E-03
-2.4547089157E+02, 6.4792983074E-02, 1.8351917494E-03
-2.3988329190E+02, 6.6257751162E-02, 2.0278512614E-03
-2.3442288153E+02, 6.7763669438E-02, 2.2419350448E-03
-2.2908676528E+02, 6.9311389033E-02, 2.4798623963E-03
-2.2387211386E+02, 7.0901561076E-02, 2.7443223307E-03
-2.1877616239E+02, 7.2534833123E-02, 3.0383023146E-03
-2.1379620895E+02, 7.4211342864E-02, 3.3651197841E-03
-2.0892961309E+02, 7.5930193275E-02, 3.7284566630E-03
-2.0417379447E+02, 7.7690362004E-02, 4.1323971103E-03
-1.9952623150E+02, 7.9490826693E-02, 4.5814687294E-03
-1.9498445998E+02, 8.1330564988E-02, 5.0806874806E-03
-1.9054607180E+02, 8.3208554534E-02, 5.6356065372E-03
-1.8620871367E+02, 8.5123772976E-02, 6.2523693281E-03
-1.8197008586E+02, 8.7075197958E-02, 6.9377670053E-03
-1.7782794100E+02, 8.9061807125E-02, 7.6993005677E-03
