*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\starb3.csv
*  version    : 1.0
*  date       : 27-May-2015 09:21:50
*  created by : J.G.Wesseling
*  module     : starb3
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 1.4356510020E-03, 1.0000000000E-10
-7.9432823472E+06, 2.3854390595E-03, 1.5736125948E-10
-6.3095734448E+06, 3.3457462187E-03, 2.4755704892E-10
-5.0118723363E+06, 4.3270915811E-03, 3.8923516849E-10
-3.9810717055E+06, 5.3399942485E-03, 6.1148780826E-10
-3.1622776602E+06, 6.3949733226E-03, 9.5958209634E-10
-2.5118864315E+06, 7.5025479048E-03, 1.5037468331E-09
-1.9952623150E+06, 8.6732370969E-03, 2.3525844471E-09
-1.5848931925E+06, 9.9175600006E-03, 3.6734427438E-09
-1.2589254118E+06, 1.1246035717E-02, 5.7231949206E-09
-1.0000000000E+06, 1.2669183349E-02, 8.8944819776E-09
-7.9432823472E+05, 1.4197521997E-02, 1.3784762644E-08
-6.3095734448E+05, 1.5841570764E-02, 2.1298748609E-08
-5.0118723363E+05, 1.7611848750E-02, 3.2799309109E-08
-3.9810717055E+05, 1.9518875057E-02, 5.0328127004E-08
-3.1622776602E+05, 2.1573168788E-02, 7.6925788377E-08
-2.5118864315E+05, 2.3785249043E-02, 1.1709218492E-07
-1.9952623150E+05, 2.6165634925E-02, 1.7744275898E-07
-1.5848931925E+05, 2.8724845534E-02, 2.6763488535E-07
-1.2589254118E+05, 3.1473399974E-02, 4.0166212496E-07
-1.0000000000E+05, 3.4421817344E-02, 5.9964250830E-07
-7.9432823472E+04, 3.7580616748E-02, 8.9026021312E-07
-6.3095734448E+04, 4.0960317286E-02, 1.3140569576E-06
-5.0118723363E+04, 4.4571438061E-02, 1.9278078286E-06
-3.9810717055E+04, 4.8424498173E-02, 2.8102519912E-06
-3.1622776602E+04, 5.2530016725E-02, 4.0694752834E-06
-2.5118864315E+04, 5.6898512818E-02, 5.8522496357E-06
-1.9952623150E+04, 6.1540505554E-02, 8.3556107487E-06
-1.5848931925E+04, 6.6466514035E-02, 1.1840884259E-05
-1.5488166189E+04, 6.6975140734E-02, 1.2255791899E-05
-1.5135612484E+04, 6.7486723301E-02, 1.2684250262E-05
-1.4791083882E+04, 6.8001272255E-02, 1.3126661548E-05
-1.4454397707E+04, 6.8518798114E-02, 1.3583438307E-05
