*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\starb4.csv
*  version    : 1.0
*  date       : 27-May-2015 09:21:56
*  created by : J.G.Wesseling
*  module     : starb4
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 5.9787287634E-03, 3.6647171029E-07
-7.9432823472E+06, 6.4284340166E-03, 4.1450230326E-07
-6.3095734448E+06, 6.8844479927E-03, 4.6893634542E-07
-5.0118723363E+06, 7.3530794150E-03, 5.3076435317E-07
-3.9810717055E+06, 7.8406370063E-03, 6.0116122394E-07
-3.1622776602E+06, 8.3534294897E-03, 6.8152530462E-07
-2.5118864315E+06, 8.8977655883E-03, 7.7352664376E-07
-1.9952623150E+06, 9.4799540250E-03, 8.7916681858E-07
-1.5848931925E+06, 1.0106303523E-02, 1.0008534086E-06
-1.2589254118E+06, 1.0783122805E-02, 1.1414930787E-06
-1.0000000000E+06, 1.1516720595E-02, 1.3046084035E-06
-7.9432823472E+05, 1.2313405614E-02, 1.4944851129E-06
-6.3095734448E+05, 1.3179486588E-02, 1.7163584817E-06
-5.0118723363E+05, 1.4121272237E-02, 1.9766503181E-06
-3.9810717055E+05, 1.5145071286E-02, 2.2832716538E-06
-3.1622776602E+05, 1.6257192457E-02, 2.6460111434E-06
-2.5118864315E+05, 1.7463944474E-02, 3.0770358155E-06
-1.9952623150E+05, 1.8771636059E-02, 3.5915398180E-06
-1.5848931925E+05, 2.0186575936E-02, 4.2085890913E-06
-1.2589254118E+05, 2.1715072827E-02, 4.9522267654E-06
-1.0000000000E+05, 2.3363435456E-02, 5.8529273391E-06
-7.9432823472E+04, 2.5137972545E-02, 6.9495199669E-06
-6.3095734448E+04, 2.7044992818E-02, 8.2917461847E-06
-5.0118723363E+04, 2.9090804998E-02, 9.9436805456E-06
-3.9810717055E+04, 3.1281717807E-02, 1.1988331738E-05
-3.1622776602E+04, 3.3624039970E-02, 1.4533868235E-05
-2.5118864315E+04, 3.6124080207E-02, 1.7722093195E-05
-1.9952623150E+04, 3.8788147244E-02, 2.1740052971E-05
-1.5848931925E+04, 4.1622549803E-02, 2.6836039189E-05
-1.5488166189E+04, 4.1915601398E-02, 2.7416830044E-05
-1.5135612484E+04, 4.2210425745E-02, 2.8012011095E-05
-1.4791083882E+04, 4.2507029151E-02, 2.8621979567E-05
-1.4454397707E+04, 4.2805417926E-02, 2.9247144664E-05
-1.4125375446E+04, 4.3105598378E-02, 2.9887927969E-05
-1.3803842646E+04, 4.3407576817E-02, 3.0544763840E-05
-1.3489628826E+04, 4.3711359550E-02, 3.1218099833E-05
-1.3182567386E+04, 4.4016952887E-02, 3.1908397131E-05
-1.2882495517E+04, 4.4324363136E-02, 3.2616130995E-05
-1.2589254118E+04, 4.4633596606E-02, 3.3341791221E-05
-1.2302687708E+04, 4.4944659605E-02, 3.4085882627E-05
-1.2022644346E+04, 4.5257558444E-02, 3.4848925546E-05
-1.1748975549E+04, 4.5572299429E-02, 3.5631456336E-05
-1.1481536215E+04, 4.5888888870E-02, 3.6434027921E-05
-1.1220184543E+04, 4.6207333075E-02, 3.7257210332E-05
-1.0964781961E+04, 4.6527638354E-02, 3.8101591286E-05
-1.0715193052E+04, 4.6849811015E-02, 3.8967776772E-05
-1.0471285481E+04, 4.7173857367E-02, 3.9856391662E-05
-1.0232929923E+04, 4.7499783718E-02, 4.0768080350E-05
-1.0000000000E+04, 4.7827596377E-02, 4.1703507403E-05
-9.7723722096E+03, 4.8157301653E-02, 4.2663358244E-05
-9.5499258602E+03, 4.8488905855E-02, 4.3648339856E-05
-9.3325430080E+03, 4.8822415291E-02, 4.4659181511E-05
-9.1201083936E+03, 4.9157836270E-02, 4.5696635525E-05
-8.9125093813E+03, 4.9495175102E-02, 4.6761478285E-05
-8.7096358996E+03, 4.9834438093E-02, 4.7854530277E-05
-8.5113803820E+03, 5.0175631554E-02, 4.8976673398E-05
-8.3176377110E+03, 5.0518761793E-02, 5.0128824503E-05
-8.1283051616E+03, 5.0863835118E-02, 5.1311933550E-05
-7.9432823472E+03, 5.1210857839E-02, 5.2526984928E-05
-7.7624711663E+03, 5.1559836264E-02, 5.3774998837E-05
-7.5857757503E+03, 5.1910776702E-02, 5.5057032735E-05
-7.4131024130E+03, 5.2263685462E-02, 5.6374182844E-05
-7.2443596008E+03, 5.2618568851E-02, 5.7727585727E-05
-7.0794578438E+03, 5.2975433180E-02, 5.9118419929E-05
-6.9183097092E+03, 5.3334284757E-02, 6.0547907700E-05
-6.7608297539E+03, 5.3695129890E-02, 6.2017316784E-05
-6.6069344801E+03, 5.4057974888E-02, 6.3527962301E-05
-6.4565422903E+03, 5.4422826060E-02, 6.5081208701E-05
-6.3095734448E+03, 5.4789689715E-02, 6.6678471817E-05
-6.1659500186E+03, 5.5158572161E-02, 6.8321221004E-05
-6.0255958607E+03, 5.5529479708E-02, 7.0010981382E-05
-5.8884365536E+03, 5.5902418663E-02, 7.1749336172E-05
-5.7543993734E+03, 5.6277395335E-02, 7.3537929150E-05
-5.6234132519E+03, 5.6654416034E-02, 7.5378467207E-05
-5.4954087386E+03, 5.7033487068E-02, 7.7272723030E-05
-5.3703179637E+03, 5.7414614746E-02, 7.9222537902E-05
-5.2480746025E+03, 5.7797805376E-02, 8.1229824646E-05
-5.1286138399E+03, 5.8183065267E-02, 8.3296563913E-05
-5.0118723363E+03, 5.8570400728E-02, 8.5424612483E-05
-4.8977881937E+03, 5.8959818068E-02, 8.7615654126E-05
-4.7863009232E+03, 5.9351323595E-02, 8.9871397575E-05
-4.6773514129E+03, 5.9744923618E-02, 9.2193588217E-05
