*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\staro3.csv
*  version    : 1.0
*  date       : 27-May-2015 09:20:10
*  created by : J.G.Wesseling
*  module     : staro3
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 5.3641369775E-03, 1.0000000000E-10
-7.9432823472E+06, 5.6586488571E-03, 1.1673608820E-10
-6.3095734448E+06, 5.9557607524E-03, 1.3644561675E-10
-5.0118723363E+06, 6.2580726793E-03, 1.5988682351E-10
-3.9810717055E+06, 6.5681846535E-03, 1.8806748192E-10
-3.1622776602E+06, 6.8886966907E-03, 2.2233713809E-10
-2.5118864315E+06, 7.2222088068E-03, 2.6451901403E-10
-1.9952623150E+06, 7.5713210174E-03, 3.1710104886E-10
-1.5848931925E+06, 7.9386333385E-03, 3.8351616818E-10
-1.2589254118E+06, 8.3267457856E-03, 4.6855891874E-10
-1.0000000000E+06, 8.7382583747E-03, 5.7901336570E-10
-7.9432823472E+05, 9.1757711214E-03, 7.2461302176E-10
-6.3095734448E+05, 9.6418840415E-03, 9.1953054789E-10
-5.0118723363E+05, 1.0139197151E-02, 1.1847261846E-09
-3.9810717055E+05, 1.0670310465E-02, 1.5517113180E-09
-3.1622776602E+05, 1.1237824000E-02, 2.0686846880E-09
-2.5118864315E+05, 1.1844337772E-02, 2.8107189385E-09
-1.9952623150E+05, 1.2492451795E-02, 3.8969928100E-09
-1.5848931925E+05, 1.3184766087E-02, 5.5205223204E-09
-1.2589254118E+05, 1.3923880663E-02, 8.0005240188E-09
-1.0000000000E+05, 1.4712395538E-02, 1.1876643233E-08
-7.9432823472E+04, 1.5552910728E-02, 1.8082368636E-08
-6.3095734448E+04, 1.6448026250E-02, 2.8271742325E-08
-5.0118723363E+04, 1.7400342118E-02, 4.5450094741E-08
-3.9810717055E+04, 1.8412458349E-02, 7.5223111254E-08
-3.1622776602E+04, 1.9486974959E-02, 1.2833685372E-07
-2.5118864315E+04, 2.0626491963E-02, 2.2598748934E-07
-1.9952623150E+04, 2.1833609376E-02, 4.1124405845E-07
-1.5848931925E+04, 2.3110927215E-02, 7.7436625991E-07
-1.5488166189E+04, 2.3242620123E-02, 8.2654781900E-07
-1.5135612484E+04, 2.3375043636E-02, 8.8255931787E-07
-1.4791083882E+04, 2.3508200352E-02, 9.4270265886E-07
-1.4454397707E+04, 2.3642092874E-02, 1.0072994681E-06
-1.4125375446E+04, 2.3776723799E-02, 1.0766344269E-06
-1.3803842646E+04, 2.3912095730E-02, 1.1509626542E-06
-1.3489628826E+04, 2.4048211264E-02, 1.2305374402E-06
-1.3182567386E+04, 2.4185073004E-02, 1.3156076258E-06
-1.2882495517E+04, 2.4322683547E-02, 1.4064140689E-06
-1.2589254118E+04, 2.4461045496E-02, 1.5031856169E-06
-1.2302687708E+04, 2.4600161449E-02, 1.6061345711E-06
-1.2022644346E+04, 2.4740034006E-02, 1.7154516315E-06
-1.1748975549E+04, 2.4880665768E-02, 1.8313003262E-06
-1.1481536215E+04, 2.5022059335E-02, 1.9538109359E-06
-1.1220184543E+04, 2.5164217307E-02, 2.0830739456E-06
-1.0964781961E+04, 2.5307142283E-02, 2.2191330673E-06
-1.0715193052E+04, 2.5450836863E-02, 2.3619778986E-06
-1.0471285481E+04, 2.5595303649E-02, 2.5115363055E-06
-1.0232929923E+04, 2.5740545239E-02, 2.6676691344E-06
-1.0000000000E+04, 2.5886564234E-02, 2.8302856748E-06
-9.7723722096E+03, 2.6033363233E-02, 2.9994280031E-06
-9.5499258602E+03, 2.6180944838E-02, 3.1751377486E-06
-9.3325430080E+03, 2.6329311647E-02, 3.3574438889E-06
-9.1201083936E+03, 2.6478466260E-02, 3.5463624476E-06
-8.9125093813E+03, 2.6628411279E-02, 3.7418962498E-06
-8.7096358996E+03, 2.6779149302E-02, 3.9440347399E-06
-8.5113803820E+03, 2.6930682931E-02, 4.1527539693E-06
-8.3176377110E+03, 2.7083014764E-02, 4.3680535005E-06
-8.1283051616E+03, 2.7236147402E-02, 4.5900217581E-06
-7.9432823472E+03, 2.7390083445E-02, 4.8187755753E-06
-7.7624711663E+03, 2.7544825492E-02, 5.0544502975E-06
-7.5857757503E+03, 2.7700376145E-02, 5.2972021512E-06
-7.4131024130E+03, 2.7856738002E-02, 5.5472107061E-06
-7.2443596008E+03, 2.8013913665E-02, 5.8046814351E-06
-7.0794578438E+03, 2.8171905732E-02, 6.0698483827E-06
-6.9183097092E+03, 2.8330716805E-02, 6.3429769537E-06
-6.7608297539E+03, 2.8490349482E-02, 6.6243668361E-06
-6.6069344801E+03, 2.8650806364E-02, 6.9143550763E-06
-6.4565422903E+03, 2.8812090052E-02, 7.2133193259E-06
-6.3095734448E+03, 2.8974203144E-02, 7.5216812853E-06
-6.1659500186E+03, 2.9137148242E-02, 7.8399103696E-06
-6.0255958607E+03, 2.9300927944E-02, 8.1685276295E-06
-5.8884365536E+03, 2.9465544852E-02, 8.5081099619E-06
-5.7543993734E+03, 2.9631001564E-02, 8.8592946497E-06
-5.6234132519E+03, 2.9797300682E-02, 9.2227842777E-06
-5.4954087386E+03, 2.9964444805E-02, 9.5993520740E-06
-5.3703179637E+03, 3.0132436533E-02, 9.9898477347E-06
-5.2480746025E+03, 3.0301278466E-02, 1.0395203797E-05
-5.1286138399E+03, 3.0470984447E-02, 1.0816442630E-05
-5.0118723363E+03, 3.0641664134E-02, 1.1254684133E-05
-4.8977881937E+03, 3.0813475673E-02, 1.1711154217E-05
-4.7863009232E+03, 3.0986577585E-02, 1.2187194191E-05
-4.6773514129E+03, 3.1161128391E-02, 1.2684271154E-05
-4.5708818961E+03, 3.1337286614E-02, 1.3203989534E-05
-4.4668359215E+03, 3.1515210775E-02, 1.3748103909E-05
-4.3651583224E+03, 3.1695059394E-02, 1.4318499330E-05
-4.2657951880E+03, 3.1876990994E-02, 1.4916830463E-05
